Title,Genre,Filename
A Midsummer Night's Dream,Comedy,MND.txt
All's Well That Ends Well,Comedy,AWW.txt
As You Like It,Comedy,AYL.txt
Love's Labour's Lost,Comedy,LLL.txt
Measure for Measure,Comedy,MM.txt
Much Ado About Nothing,Comedy,Ado.txt
"Pericles, Prince of Tyre",Comedy,Per.txt
The Comedy of Errors,Comedy,Err.txt
The Merchant of Venice,Comedy,MV.txt
The Merry Wives of Windsor,Comedy,Wiv.txt
The Taming of the Shrew,Comedy,Shr.txt
The Tempest,Comedy,Tmp.txt
The Two Gentlemen of Verona,Comedy,TGV.txt
The Two Noble Kinsmen,Comedy,TNK.txt
The Winter's Tale,Comedy,WT.txt
Twelfth Night,Comedy,TN.txt
"Henry IV, Part 1",History,1H4.txt
"Henry IV, Part 2",History,2H4.txt
Henry V,History,H5.txt
"Henry VI, Part 1",History,1H6.txt
"Henry VI, Part 2",History,2H6.txt
"Henry VI, Part 3",History,3H6.txt
Henry VIII,History,H8.txt
King John,History,Jn.txt
Richard II,History,R2.txt
Richard III,History,R3.txt
Antony and Cleopatra,Tragedy,Ant.txt
Coriolanus,Tragedy,Cor.txt
Cymbeline,Tragedy,Cym.txt
Hamlet,Tragedy,Ham.txt
Julius Caesar,Tragedy,JC.txt
King Lear,Tragedy,Lr.txt
Macbeth,Tragedy,Mac.txt
Othello,Tragedy,Oth.txt
Romeo and Juliet,Tragedy,Rom.txt
Timon of Athens,Tragedy,Tim.txt
Titus Andronicus,Tragedy,Tit.txt
Troilus and Cressida,Tragedy,Tro.txt
